year	gender	age	education	obs_value
2023	Total	"Age (Youth, adults): 15+"	Education (Aggregate levels): Total	54781.868
2023	Total	"Age (Youth, adults): 15+"	Education (Aggregate levels): Basic	13091.998
2023	Total	"Age (Youth, adults): 15+"	Education (Aggregate levels): Intermediate	21689.688
2023	Total	"Age (Youth, adults): 15+"	Education (Aggregate levels): Advanced	18081.481
2023	Total	"Age (Youth, adults): 15+"	Education (Aggregate levels): Level not stated	1918.702
2023	Total	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Total	40527.469
2023	Total	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Basic	7957.541
2023	Total	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Intermediate	16692.608
2023	Total	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Advanced	15232.092
2023	Total	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Level not stated	645.227
2023	Total	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Total	7537.345
2023	Total	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Basic	3113.53
2023	Total	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Intermediate	3137.97
2023	Total	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Advanced	1173.068
2023	Total	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Level not stated	112.777
2023	Total	"Age (Youth, adults): 25+"	Education (Aggregate levels): Total	47244.523
2023	Total	"Age (Youth, adults): 25+"	Education (Aggregate levels): Basic	9978.468
2023	Total	"Age (Youth, adults): 25+"	Education (Aggregate levels): Intermediate	18551.717
2023	Total	"Age (Youth, adults): 25+"	Education (Aggregate levels): Advanced	16908.413
2023	Total	"Age (Youth, adults): 25+"	Education (Aggregate levels): Level not stated	1805.925
2023	Male	"Age (Youth, adults): 15+"	Education (Aggregate levels): Total	26187.696
2023	Male	"Age (Youth, adults): 15+"	Education (Aggregate levels): Basic	6065.887
2023	Male	"Age (Youth, adults): 15+"	Education (Aggregate levels): Intermediate	11162.713
2023	Male	"Age (Youth, adults): 15+"	Education (Aggregate levels): Advanced	8213.291
2023	Male	"Age (Youth, adults): 15+"	Education (Aggregate levels): Level not stated	745.804
2023	Male	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Total	19897.61
2023	Male	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Basic	4090.253
2023	Male	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Intermediate	8690.428
2023	Male	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Advanced	6822.396
2023	Male	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Level not stated	294.533
2023	Male	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Total	3846.671
2023	Male	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Basic	1633.334
2023	Male	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Intermediate	1611.509
2023	Male	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Advanced	535.72
2023	Male	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Level not stated	66.109
